epoch,lr,train_total_loss,val_total_loss,best_val_loss,best_epoch,train_loss_classifier,train_loss_box_reg,train_loss_mask,train_loss_objectness,train_loss_rpn_box_reg,val_loss_classifier,val_loss_box_reg,val_loss_mask,val_loss_objectness,val_loss_rpn_box_reg,is_best,epoch_time_sec
1,2.8e-05,1.9892156099857286,1.3626727700233459,1.3626727700233459,1,0.7735714638263989,0.6023831828485318,0.38169929523800694,0.11061389624898721,0.1209477724738176,0.4565364791401501,0.47093000000920787,0.2767538170362341,0.06731901451752617,0.09113346039285433,1,363.8199622631073
2,4.6e-05,1.1730169797513528,1.00834000727226,1.00834000727226,2,0.3436789982819819,0.41885458525433866,0.2543545158950549,0.05228974982631815,0.1038391288078555,0.27139489296181446,0.3666489613467249,0.23833162712639777,0.046468998462860955,0.08549553197969137,1,374.32285928726196
3,6.4e-05,0.9606323413916644,0.9701110001268058,0.9701110001268058,3,0.24152679485329054,0.3552256657980209,0.23515103239498705,0.03425814121474763,0.0944707075045687,0.24522807341197442,0.3342695759288196,0.23568833244257958,0.06736466457007517,0.0875603554465262,1,372.65353083610535
4,8.2e-05,0.8739713153751322,0.8782054580491164,0.8782054580491164,4,0.20519141983529626,0.3212820054717766,0.22477659416560672,0.03206361487886621,0.09065768137161027,0.22269563099433637,0.30844496940744337,0.22307288245908144,0.04525641454544304,0.0787355611839428,1,371.8010747432709
5,0.0001,0.8102215842490664,0.8908334255218506,0.8782054580491164,4,0.18283056079840784,0.29999955647771825,0.21933681040386205,0.025909604644028722,0.082145054497251,0.22386394929269265,0.3099930390201766,0.2169203168359296,0.059058218240107666,0.08099789763961372,0,372.1956958770752
6,0.0001,0.7718897776856287,0.8693065628923219,0.8693065628923219,6,0.16957500596225109,0.28418055848153523,0.2142649856937486,0.02200458164201952,0.08186464625165872,0.20470833819488,0.2945408603240704,0.22273779593665025,0.06367162409366976,0.08364794941394237,1,371.28159403800964
7,0.0001,0.7072135204069067,0.8528400992525035,0.8528400992525035,7,0.14151370672157723,0.2610837931934869,0.20799273190880316,0.020021556886108356,0.07660173138603418,0.1868023370874339,0.2963517997799249,0.21359179081587956,0.07629652068617047,0.0797976489724784,1,371.90317702293396
8,0.0001,0.6617151197113424,0.9347329026666181,0.8528400992525035,7,0.13066027324781476,0.24371424373913103,0.20409962691809472,0.010894906640770136,0.0723460679073222,0.22018553722521356,0.30440924732849517,0.21708579700568625,0.09662408353524997,0.09642824156225883,0,372.1424570083618
9,0.0001,0.6247720769209455,0.8502897379727199,0.8502897379727199,9,0.11941430044844169,0.22673100331745252,0.1988981779019808,0.009527524235974937,0.07020107105428144,0.1857957679136046,0.27234061966682305,0.21376125021227474,0.0896305114798577,0.08876158795801216,1,371.9578800201416
10,0.0001,0.6443640558718094,0.8176719287346149,0.8176719287346149,10,0.12338278808983558,0.22918842133201986,0.2051043648186118,0.014708436873156138,0.07198004591697166,0.1833279100728446,0.2811452875877249,0.2116128278189692,0.06173274430249625,0.07985315798894213,1,737.218715429306
11,0.0001,0.6088422225157728,0.8601677915145611,0.8176719287346149,10,0.11475731931309137,0.2175134818962455,0.1970765315458294,0.01034385016284963,0.06915103904854429,0.18424275941376028,0.26778028401835213,0.213791642826179,0.11438480979223045,0.07996829331627693,0,735.7396864891052
12,0.0001,0.5794919962376279,0.8506833783511458,0.8176719287346149,10,0.10111741882746496,0.20681470137291638,0.1945209705513885,0.011828537683523023,0.0652103675329695,0.18544133881042743,0.257612423547383,0.21316378579057496,0.11358142596752792,0.08088440273181889,0,735.7939653396606
13,0.0001,0.5674431158051626,0.8536742767383312,0.8176719287346149,10,0.1019216036647847,0.20246734626793353,0.19386498504907893,0.008068629139538068,0.0611205512251812,0.18813854294090435,0.2591729171317199,0.21485960298571094,0.11039602332507613,0.08110719630494714,0,733.9319672584534
14,0.0001,0.5585323600459469,0.87859315091166,0.8176719287346149,10,0.09763913737665332,0.19732363598820699,0.19372929575869896,0.00709123676123635,0.06274905410184137,0.19248572927096794,0.26487328790385145,0.21059061956816705,0.13070403268409728,0.07993948498965595,0,733.7362198829651
15,0.0001,0.5378381584503854,0.8894049253957025,0.8176719287346149,10,0.09438829761941843,0.18714827540732476,0.18939953259834946,0.007537973959804998,0.05936407929107602,0.19207117287763234,0.2649344356923268,0.21792756226556054,0.13690072880196785,0.07757103039465588,0,734.8547184467316
16,0.0001,0.5264941697088323,0.9305316561254962,0.8176719287346149,10,0.090434545654688,0.18192702890145146,0.18828390757204333,0.007913253524715242,0.05793543292792109,0.1878833483005392,0.25903000338324184,0.2086810549785351,0.18706748154140299,0.08786976968644765,0,734.7697710990906
17,0.0001,0.511399744612764,0.869379921617179,0.8176719287346149,10,0.08893066662867874,0.17305521770483917,0.18470523271526784,0.00813282121075862,0.056575806778399886,0.18219883976311518,0.2658958222331672,0.21067394583389676,0.12611260015320772,0.08449871634004702,0,735.4477605819702
